GO	Term	Aspect	ASPECT	Entry	Original GO	Original Term	Original Aspect
GO:0003677	DNA binding	F	Molecular Function	A0A1L9X2Y5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1L9UU98	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	W9Z0U9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1S7UJV9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	B8N3F2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0D2BY94	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A484G0Q6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A3F3Q2A4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0D1Z6N4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A1D4N2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1J9S154	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	K9FNI9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A161W9Q4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	G2RF90	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	W9VWC5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A3D8T4S1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4Z1L4I9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0D1ZSW4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	K9FL53	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2V5HUS8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0G4PLT0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1F8ABG2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A094ANU8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0C3HRD4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1Y2M3V0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A3N2PZ55	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A3N4JRD4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A1CRR9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0D2C0A9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1L9ND43	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V6NJT9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V6NQL7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1J9RFD9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	H6BRI1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V1T5A9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	B6H5Z1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1Y2AA48	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1B8EXU1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A094HTT4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	E4UPS6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A094FKW1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	Q5B5Z6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2I1BW97	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	V5IRI7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1B8GK12	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2T7A0C9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A017SDU8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	B6QKT5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1C1CKZ4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	E3Q5U5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0A0HU60	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1B7P0W2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1L9TL74	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1Q5T0M1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0H1BK20	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4Q4WIS8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A167EIY1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0D2GYF5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2I2GQM6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A179ULS2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0A2LC33	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V6T3Z5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0M8PCK4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1S8BJB9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A317XA96	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A319DR71	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A178EKI8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	O59848	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4Q4UZG3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	C0NBP0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A101M8R6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1G4B6F2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0F0IEU5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	C4JJL7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2I2FMT3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	W6QEW0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A165JEU2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	G4MUE5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	M7S6K4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A135L8Q6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A124GQK4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	L8FZA3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A094H964	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A318ZHX2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A135LXF7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0S7E7V0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A364L632	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	C5FSY4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1F5LFC3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	L2F9X0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A059IY17	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	W9YBD3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	W9CQ33	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0U1M5F6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	C6H9Y8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1B8DKS7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	R1ED04	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	S3BW39	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0G4PBN2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A059IXR6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A177CNE7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4Q4YR56	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1L9RXE4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0F4YHM6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0K8LNJ1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0A2V535	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A439CZI9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4Z1K4B5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A395HQH5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0A2L498	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0M8NR65	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A7EGH9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0A2JAD6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0A2J936	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	Q2HE25	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4V6DGK4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A136JFI6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2B7XKI7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1L9PRH7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V6RLR3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2G7G3F2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0D2HNH3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2T2NDG7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	D5GJ28	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V6R809	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A401L5V0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	B8MFH3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4Q4YUU6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A319C430	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2B7XEW9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1L7WCU1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	T0KNK9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V6Y3V6	GO:0043565	sequence-specific DNA binding	F
