,Category,Group,Pathway,Description
0,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G37840 HKL3; hexokinase-like 3	K00844 HK; hexokinase [EC:2.7.1.1]
1,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G47840 HXK3; hexokinase 3	K00844 HK; hexokinase [EC:2.7.1.1]
2,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT2G19860 HXK2; hexokinase 2	K00844 HK; hexokinase [EC:2.7.1.1]
3,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G29130 HXK1; hexokinase 1	K00844 HK; hexokinase [EC:2.7.1.1]
4,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G50460 HKL1; hexokinase-like 1	K00844 HK; hexokinase [EC:2.7.1.1]
5,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G20040 ATHXK4; Hexokinase	K00844 HK; hexokinase [EC:2.7.1.1]
6,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G24620 PGI1; phosphoglucose isomerase 1	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]
7,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G42740 Sugar isomerase (SIS) family protein	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]
8,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G32840 PFK6; phosphofructokinase 6	K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
9,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G56630 PFK7; phosphofructokinase 7	K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
10,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G61580 PFK4; phosphofructokinase 4	K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
11,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G29220 PFK1; phosphofructokinase 1	K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
12,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT2G22480 PFK5; phosphofructokinase 5	K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
13,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G26270 PFK3; phosphofructokinase 3	K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
14,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G47810 PFK2; phosphofructokinase 2	K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
15,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G76550 Phosphofructokinase family protein	K00895 pfp; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
16,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G04040 MEE51; Phosphofructokinase family protein	K00895 pfp; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
17,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G12000 Phosphofructokinase family protein	K00895 pfp; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
18,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G20950 Phosphofructokinase family protein	K00895 pfp; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
19,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT1G43670 FBP; Inositol monophosphatase family protein	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
20,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT3G54050 HCEF1; high cyclic electron flow 1	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
21,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT5G64380 Inositol monophosphatase family protein	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
22,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT4G26520 FBA7; Aldolase superfamily protein	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
23,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT2G36460 FBA6; Aldolase superfamily protein	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
24,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT3G52930 FBA8; Aldolase superfamily protein	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
25,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT2G01140 PDE345; Aldolase superfamily protein	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
26,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT4G38970 FBA2; fructose-bisphosphate aldolase 2	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
27,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT4G26530 FBA5; Aldolase superfamily protein	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
28,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT5G03690 FBA4; Aldolase superfamily protein	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
29,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT2G21330 FBA1; fructose-bisphosphate aldolase 1	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
30,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G55440 TPI; triosephosphate isomerase	K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]
31,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT2G21170 TIM; triosephosphate isomerase	K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]
32,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G13440 GAPC2; glyceraldehyde-3-phosphate dehydrogenase C2	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
33,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G16300 GAPCP-2; glyceraldehyde-3-phosphate dehydrogenase of plastid 2	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
34,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G79530 GAPCP-1; glyceraldehyde-3-phosphate dehydrogenase of plastid 1	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
35,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G04120 GAPC1; glyceraldehyde-3-phosphate dehydrogenase C subunit 1	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
36,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G12780 PGK1; phosphoglycerate kinase 1	K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3]
37,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G56190 Phosphoglycerate kinase family protein	K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3]
38,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G79550 PGK; phosphoglycerate kinase	K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3]
39,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT1G22170 Phosphoglycerate mutase family protein	K01834 PGAM; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
40,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT1G78050 PGM; phosphoglycerate/bisphosphoglycerate mutase	K01834 PGAM; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
41,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT1G09780 iPGAM1; Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent	K15633 gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
